04;6321;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
12;6192;8;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4767;0;1;0;0;1;0;2;5;5;2;4;2;2;4;2;2;4;2;2;2;1;2;5;4;3;;4;4;4;;2;4
01;5859;4;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
07;5983;4;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
11;6082;6;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
04;5203;7;0;0;0;1;0;2;5;2;4;1;3;1;;4;4;2;;;;4;;;4;4;;4;;;4;1;4
12;4822;4;1;0;0;1;0;;;5;;;5;1;2;;;1;;4;;1;1;;5;;1;;;1;1;1;4
02;5896;7;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
07;6008;4;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
04;6322;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
10;6365;6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
01;6260;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
12;6096;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
06;6334;4;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
13;6390;3;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
04;5960;7;1;0;1;0;1;4;2;4;2;3;4;1;2;4;2;1;4;2;3;4;4;5;4;4;3;3;3;3;;1;3
10;5480;2;0;0;0;1;0;2;4;2;5;1;2;1;4;2;1;1;3;2;3;;4;4;5;5;1;4;2;1;4;4;5
02;6292;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
12;6087;5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
01;6241;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
