vaalipiiri;id;puolue;sukupuoli;toimin tällä hetkellä kansanedustajana;valittu;koulutus;vuositulot;suomessa on liian helppo elää sosiaaliturvan varassa;kaupan ja muiden liikkeiden aukioloajat on vapautettava;suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason;työntekijälle on turvattava lailla minimityöaika;ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää;euron ulkopuolella suomi pärjäisi paremmin;ruoan verotusta on varaa kiristää;valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja;lapsilisiä on korotettava ja laitettava verolle;suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin;nato-jäsenyys vahvistaisi suomen turvallisuuspoliittista asemaa;suomeen tarvitaan enemmän poliiseja;maahanmuuttoa suomeen on rajoitettava terrorismin uhan vuoksi;venäjän etupiiripolitiikka on uhka suomelle;verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja;suomen on osallistuttava isisin vastaiseen taisteluun kouluttamalla irakin hallituksen joukkoja;parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan;terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina;viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin;vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä;kansalaisten oikeus terveyspalveluihin on tärkeämpää kuin kuntien itsehallinto;ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle;geenimuunneltu ruoka on turvallista ihmiselle ja ympäristölle;suomen pitää ottaa suurempi vastuu eu:n alueelle tulevista turvapaikanhakijoista;on aika luopua ajatuksesta, että koko suomi on pidettävä asuttuna;peruskoulun opetusryhmien koko on rajattava lailla esimerkiksi 20 oppilaaseen
06;4741;2;0;1;1;0;1;2;2;2;5;1;2;1;1;4;2;1;2;1;2;2;4;4;5;4;2;5;4;2;4;2;4
02;4602;4;1;0;0;0;0;1;2;2;5;1;5;2;1;1;1;1;5;1;1;1;1;5;5;5;4;2;2;1;1;1;5
10;4995;8;0;0;0;1;0;2;5;2;1;5;1;1;2;2;5;5;5;1;4;5;5;4;4;5;1;5;2;4;5;2;1
07;5195;0;1;0;0;0;0;2;4;4;4;5;2;2;4;2;2;1;4;4;4;3;4;4;2;2;4;4;2;2;4;1;2
12;4541;3;1;0;0;1;0;2;2;4;4;2;4;1;4;2;2;4;5;4;4;4;4;4;4;4;2;4;4;1;4;2;4
01;5045;6;1;0;0;1;0;5;4;3;3;4;3;2;4;2;4;3;4;4;4;4;4;2;3;3;2;4;2;1;2;4;4
11;5755;9;1;0;0;0;0;4;4;4;1;4;1;2;5;2;4;4;2;1;4;4;2;5;4;4;2;5;4;3;4;5;2
12;5021;3;1;0;0;1;0;4;4;5;4;4;1;1;2;1;2;1;4;2;2;2;2;4;4;4;2;4;4;1;4;4;5
08;4340;9;1;0;0;0;0;4;5;2;2;4;2;1;4;2;4;4;5;4;4;4;2;4;2;5;2;5;2;3;1;3;2
02;5490;7;0;0;0;1;0;2;2;4;2;2;2;1;2;4;4;1;4;2;3;4;3;2;5;5;4;4;4;1;3;1;2
12;4219;8;0;0;0;1;0;2;4;4;4;4;2;2;2;2;4;4;2;2;4;4;1;4;2;2;4;4;4;1;4;4;2
10;4670;2;1;0;0;1;0;2;2;2;5;1;1;1;4;5;4;1;5;1;4;4;1;4;5;5;4;4;4;2;5;1;5
02;5697;0;1;0;0;0;0;5;5;1;1;5;5;1;5;1;5;1;1;5;1;1;1;4;2;1;1;1;1;1;1;1;5
04;5357;1;1;0;0;1;0;5;2;5;5;1;2;3;1;4;1;1;4;2;3;2;4;5;5;3;1;3;3;1;5;1;5
03;5824;6;0;0;0;1;0;5;2;2;5;2;5;2;5;4;2;1;4;5;5;4;2;1;4;4;1;5;4;1;1;1;5
13;6164;8;1;0;0;0;0;4;4;4;4;3;3;2;3;1;3;2;2;4;2;3;3;3;5;2;4;4;5;1;5;5;5
01;5823;8;1;0;0;1;0;5;5;4;2;5;2;2;5;1;5;5;4;1;5;4;5;4;1;4;2;5;4;4;4;5;2
09;5360;3;1;0;0;1;0;5;5;4;1;2;4;1;4;1;2;1;5;1;1;2;5;4;2;4;4;5;4;2;4;1;1
02;5583;9;1;0;0;0;1;4;5;2;1;5;2;4;5;2;4;5;5;2;2;2;4;5;1;3;4;5;2;2;4;3;2
06;4546;9;0;1;1;1;1;4;5;4;2;4;1;2;5;2;2;5;4;2;4;4;4;4;2;4;2;5;4;4;4;2;2
01;4300;8;0;0;0;1;0;2;4;4;4;5;1;4;4;2;4;4;2;1;2;2;4;4;4;4;1;5;4;2;5;2;2
01;5884;8;0;0;0;0;0;2;4;4;4;1;1;1;2;1;2;4;5;1;2;2;3;1;4;5;2;2;4;2;5;1;4
01;5304;7;1;0;0;0;0;1;4;5;4;2;2;1;2;5;2;1;2;1;3;2;4;3;4;4;2;3;4;2;5;1;4
04;4699;1;1;0;0;1;0;1;1;5;5;1;2;1;2;4;1;1;5;1;5;4;1;2;5;5;4;5;5;1;5;1;5
08;5774;3;0;0;0;0;0;4;4;4;2;2;2;2;4;2;2;2;4;2;2;2;4;2;4;4;2;4;4;2;4;2;4
01;4730;0;0;0;0;0;0;1;5;5;4;4;2;1;5;4;1;2;5;1;4;1;1;5;2;2;2;4;5;1;4;2;2
02;5727;1;0;0;0;0;0;2;5;5;5;1;2;1;1;4;1;1;2;2;4;2;4;4;5;2;2;4;4;1;2;2;4
07;4727;0;0;0;0;0;0;1;2;4;5;1;5;1;2;4;1;1;2;2;1;2;1;2;5;4;1;3;4;1;4;1;5
10;4745;1;1;0;0;1;0;1;1;5;5;1;1;1;1;2;1;1;4;1;4;1;2;5;5;4;1;4;5;1;5;2;5
02;5366;8;1;0;0;0;0;4;4;4;4;2;2;2;2;4;4;4;5;1;2;4;2;5;5;4;4;1;5;1;5;1;1
07;5517;2;1;1;1;1;1;1;2;2;5;1;2;1;1;5;2;1;4;2;4;2;5;5;5;5;2;4;4;1;2;4;5
02;4858;2;0;1;1;0;0;2;5;2;4;2;1;1;4;4;2;1;3;2;2;3;2;4;5;2;3;5;5;3;3;4;5
02;5608;1;0;0;0;1;0;1;2;5;4;1;2;1;1;2;1;1;1;1;4;1;2;2;5;2;2;4;5;1;4;1;5
01;5804;1;1;0;0;0;0;1;2;4;5;1;5;1;1;4;1;1;5;2;1;2;1;5;5;4;1;5;2;1;2;2;4
09;4464;1;1;0;0;1;0;1;2;4;5;1;2;1;1;2;1;1;4;1;2;2;2;2;5;4;2;4;5;1;4;1;4
08;4153;3;0;0;0;1;0;2;4;5;2;2;1;2;2;2;2;2;2;1;4;1;5;5;4;4;2;5;5;4;5;2;2
03;5945;5;1;0;0;1;0;2;5;2;4;2;5;1;5;5;5;4;5;5;4;4;2;4;4;2;2;4;1;1;1;1;5
07;4754;3;0;0;0;1;0;1;2;5;4;2;1;1;1;4;1;1;2;1;1;1;4;5;5;4;2;5;5;1;5;4;4
03;4327;9;1;0;0;0;1;2;4;2;1;4;1;1;5;2;2;5;4;2;4;4;2;2;4;4;2;5;2;4;2;2;2
06;5506;3;1;0;0;1;0;2;5;5;5;4;2;1;2;4;1;2;4;1;2;2;4;5;5;4;2;5;5;2;4;1;2
11;4556;6;1;0;0;0;0;2;4;4;4;2;2;1;4;2;2;4;5;2;4;4;2;1;2;5;4;4;4;2;4;1;4
07;4386;6;0;0;0;1;0;2;4;2;4;2;4;1;2;1;1;1;5;2;2;2;1;1;5;4;1;2;5;2;4;2;4
02;4586;6;1;0;0;1;0;4;2;4;3;2;2;2;2;4;4;4;2;1;5;4;2;1;2;4;2;2;2;2;4;2;4
03;4533;5;1;0;0;0;0;4;5;4;2;3;4;2;2;2;2;1;5;5;3;4;1;3;4;4;1;5;1;3;1;2;4
07;5312;9;1;0;0;0;0;5;5;1;2;4;1;1;5;2;4;5;5;2;5;5;4;5;1;5;2;5;2;2;2;2;4
10;5423;1;0;0;0;0;0;1;1;4;5;1;4;1;1;5;1;1;5;5;4;1;1;5;5;1;1;2;4;1;1;1;5
01;5777;2;0;0;1;1;1;2;2;2;4;2;1;2;2;2;1;2;4;3;3;2;4;2;5;4;2;5;3;4;4;2;2
01;5861;3;1;1;1;0;1;2;5;5;4;2;1;2;2;2;2;2;4;1;2;1;4;4;4;4;2;5;5;2;4;2;4
13;6134;9;1;0;0;1;0;5;5;2;1;5;1;2;2;1;2;5;3;1;5;2;3;4;2;2;1;5;2;4;4;2;1
02;5908;8;1;0;1;1;0;2;5;2;4;4;1;1;5;1;2;4;2;1;4;4;5;4;4;2;1;4;4;4;5;2;2
01;5050;1;0;0;0;0;0;1;2;5;5;1;4;1;1;2;1;1;4;1;4;1;4;5;5;5;1;4;5;2;5;5;5
02;5067;4;0;0;0;0;0;4;3;5;1;5;5;1;5;1;1;1;4;4;4;2;1;4;5;4;5;5;5;1;2;1;4
09;4396;2;0;0;0;1;0;1;2;2;5;1;1;1;1;5;1;2;5;1;4;4;3;5;5;5;1;5;4;2;4;1;5
04;6162;0;1;0;0;0;0;4;4;3;5;2;5;2;4;3;1;1;4;5;3;2;1;2;5;3;1;4;2;1;1;1;5
07;5244;7;1;0;1;0;0;4;4;2;2;4;2;1;4;2;4;2;2;2;2;2;1;4;2;5;2;4;2;1;2;1;2
07;6003;7;1;0;0;0;0;4;4;5;4;5;2;1;5;5;4;4;5;2;4;5;1;2;2;5;2;5;2;1;2;1;2
01;4320;0;1;0;0;1;0;1;1;4;5;1;5;1;1;3;1;1;2;1;2;1;1;2;5;2;1;3;5;1;5;1;5
12;5592;3;1;0;0;1;0;1;5;5;2;2;1;1;4;4;2;1;4;1;2;1;2;5;5;4;1;4;5;4;5;4;5
11;5301;5;1;1;1;0;1;4;4;3;2;3;4;1;4;3;4;2;5;5;4;4;3;3;4;3;3;4;1;1;1;1;3
01;4346;9;1;0;0;1;1;5;4;2;4;4;1;1;5;1;5;4;5;2;4;4;4;5;2;5;4;5;2;2;1;4;4
07;4214;6;0;0;0;0;0;2;2;4;4;1;2;2;5;4;1;2;5;2;4;4;2;1;5;5;2;2;4;1;2;1;5
10;5780;9;0;0;0;0;0;4;5;4;2;5;1;1;5;2;4;4;4;2;5;4;2;4;2;4;4;4;4;2;2;1;2
04;4731;0;0;0;0;0;0;2;5;4;5;2;4;2;4;1;4;1;5;5;2;4;2;4;4;4;2;4;2;1;1;2;4
12;5186;3;0;0;1;1;0;2;2;5;4;2;2;1;2;2;2;2;5;2;4;2;4;1;5;5;2;4;5;2;4;2;4
12;4884;2;0;0;0;1;0;4;2;4;5;1;2;1;4;1;1;2;4;1;4;5;1;5;5;2;2;5;4;2;2;2;5
11;4613;5;1;0;0;0;0;4;2;1;2;2;4;1;4;4;5;2;5;4;4;4;2;2;4;5;2;4;2;1;1;1;4
12;6106;5;1;0;0;0;0;4;4;5;5;4;5;1;4;4;4;1;5;5;4;4;4;5;5;5;4;2;2;2;1;1;4
07;5553;7;1;0;0;1;0;2;4;4;2;4;2;1;4;2;2;2;4;2;2;4;4;4;2;4;2;4;2;4;2;1;2
10;5112;6;0;0;0;0;0;4;2;2;2;2;2;1;4;2;2;2;2;2;4;4;4;1;4;4;2;4;4;1;2;1;2
06;4920;0;1;0;0;0;0;2;5;5;2;4;4;1;5;1;4;3;5;1;1;1;1;4;5;3;2;3;4;2;1;2;5
03;5935;6;1;0;0;1;0;4;2;4;4;2;4;2;4;4;4;4;5;5;4;4;4;2;4;2;4;3;4;1;1;1;5
04;5089;9;1;0;0;1;1;4;4;2;2;4;1;2;5;2;2;5;4;2;4;5;4;4;2;4;2;4;2;2;4;4;2
02;4173;6;0;0;0;0;0;2;2;4;4;2;2;2;2;4;2;4;4;4;5;2;4;1;4;4;2;4;2;2;2;2;4
01;4170;6;1;0;0;1;0;2;2;4;4;2;2;2;2;4;1;4;4;4;5;2;4;1;4;4;2;4;2;2;2;4;4
02;5572;2;1;0;1;1;0;2;4;4;4;2;2;2;2;5;1;2;2;1;4;1;4;5;5;4;4;4;5;3;5;2;2
02;4679;6;1;0;0;1;0;2;4;4;2;1;4;1;4;1;4;2;4;2;1;4;1;2;4;4;2;4;4;4;2;2;4
13;5643;0;0;0;0;0;0;2;5;5;4;5;5;1;2;4;1;1;1;5;4;1;2;1;2;5;1;5;5;1;2;1;5
08;4591;2;1;0;0;0;0;2;2;2;4;1;2;2;5;2;4;2;4;2;2;5;1;5;5;4;4;5;2;3;1;2;2
13;4841;0;1;0;0;0;0;1;5;5;2;2;5;1;1;4;4;1;2;1;4;1;1;5;4;2;1;2;1;2;2;1;4
03;5150;6;0;0;0;1;0;4;2;2;2;2;2;5;2;2;5;1;5;2;2;4;5;1;4;2;5;4;5;1;2;2;5
02;5661;9;1;0;1;1;0;4;5;1;1;4;1;1;5;1;4;4;4;1;2;3;4;4;1;4;1;3;4;4;4;4;4
01;5679;9;1;0;0;0;0;4;5;2;1;4;1;2;4;3;2;4;4;2;2;2;3;4;1;3;2;5;2;3;3;5;2
13;5733;4;1;0;0;0;0;2;4;5;4;2;5;1;2;1;2;1;2;2;1;1;1;5;4;2;1;2;4;2;1;1;4
06;4305;1;1;0;0;0;0;2;4;5;5;1;2;1;2;1;4;1;2;2;2;1;1;5;5;2;2;4;4;1;2;5;5
09;5165;2;1;0;0;0;0;2;2;4;4;2;1;2;4;1;4;1;4;4;4;4;2;4;5;4;2;4;5;2;2;1;4
08;4943;5;0;0;0;0;0;4;4;4;4;2;4;1;4;2;4;2;4;5;4;4;2;4;4;5;2;4;4;2;1;2;5
01;5765;8;1;0;0;0;0;2;2;4;2;2;1;1;2;2;4;2;4;1;2;2;2;1;4;4;2;4;4;2;5;3;2
07;5269;3;0;0;1;1;1;2;2;5;4;2;2;3;2;2;2;2;2;1;4;2;4;4;4;2;2;5;5;2;4;2;4
02;4967;0;0;0;0;0;0;2;2;4;5;1;5;1;4;4;2;2;5;5;4;2;4;5;4;5;2;4;2;2;1;1;4
09;4805;9;0;0;0;0;0;4;5;2;1;5;1;1;5;2;4;5;5;1;1;4;4;4;4;5;1;5;4;5;2;4;2
02;4738;1;0;0;0;1;0;2;2;4;4;1;2;2;2;2;1;1;4;1;3;3;3;4;5;2;2;3;5;2;3;1;4
01;4347;0;1;0;0;0;0;1;5;5;2;4;2;1;4;1;1;1;4;2;5;1;4;5;4;4;1;5;5;4;4;1;4
02;5693;0;0;0;0;0;0;1;2;2;5;1;5;1;1;4;1;1;2;2;1;2;1;2;5;1;1;2;4;1;1;1;4
10;4962;7;1;1;1;0;1;4;4;4;4;4;2;1;4;2;2;1;5;2;2;4;1;2;4;2;2;4;2;1;1;1;2
04;5721;7;0;0;0;1;0;2;2;2;4;2;2;1;2;2;2;1;4;1;2;2;1;2;5;5;2;4;4;2;2;1;4
02;5335;0;0;0;0;0;0;5;1;5;3;2;5;1;1;5;1;5;5;5;5;2;1;1;5;5;1;5;5;1;2;1;5
03;4601;0;1;0;0;0;0;1;1;5;4;1;5;1;2;4;1;1;1;1;1;1;1;5;5;4;2;1;4;2;5;1;5
02;5487;6;0;0;0;1;0;2;1;4;2;4;4;1;5;2;2;4;4;2;5;5;5;1;2;5;2;5;2;2;2;2;2
09;4655;2;1;0;0;0;0;2;4;2;5;1;2;2;2;2;2;1;4;2;2;1;2;4;5;4;2;4;2;2;4;2;2
04;5958;9;0;0;0;0;0;4;5;2;2;4;1;1;5;2;1;4;4;1;2;2;1;2;4;4;2;5;2;2;2;4;2
03;5406;5;1;1;0;1;1;2;2;2;5;2;5;2;4;2;4;2;2;5;2;2;1;2;5;4;2;4;2;2;1;1;4
08;6025;7;1;0;0;1;0;4;5;4;5;2;2;1;5;1;1;2;2;4;2;4;4;2;4;5;2;5;5;1;1;1;4
06;5968;0;1;0;0;1;0;2;5;4;1;1;5;1;5;1;2;4;1;5;2;1;1;5;1;2;2;4;1;4;1;4;2
09;5091;7;0;0;1;1;0;4;4;4;4;4;2;2;4;2;2;2;5;2;4;5;4;4;4;5;2;4;4;1;4;2;2
12;4474;9;1;0;0;0;0;5;5;2;1;4;2;1;5;2;4;5;5;4;5;2;4;4;2;4;2;2;2;4;1;2;2
11;4494;9;0;0;0;1;0;4;5;4;1;5;2;1;4;2;4;4;2;2;4;4;3;5;2;2;4;4;2;1;3;4;2
13;4657;0;1;0;0;0;0;2;2;4;4;1;4;1;1;2;2;3;4;5;3;2;4;4;4;2;3;3;4;1;1;1;1
11;5681;1;1;0;0;0;0;1;4;5;5;1;1;1;1;2;1;1;4;1;2;1;2;4;5;5;1;5;4;2;4;2;2
07;5536;3;0;0;0;1;0;2;5;5;4;2;2;1;2;2;4;4;4;2;4;4;3;5;2;2;2;5;2;2;3;2;2
04;4328;1;0;0;0;0;0;1;2;4;4;1;2;1;1;4;2;1;2;1;1;2;4;4;4;4;1;4;4;2;4;2;4
10;4365;9;1;0;0;1;0;2;4;1;1;4;1;1;5;2;2;4;4;1;4;4;2;4;1;5;2;5;4;4;4;4;4
04;4525;5;0;0;0;0;0;2;5;2;5;4;4;1;2;2;1;1;5;4;2;5;4;5;4;4;1;1;2;1;1;1;5
10;5639;9;1;0;0;0;0;4;5;4;4;4;2;1;5;2;4;4;5;4;4;4;4;4;2;4;3;4;4;3;2;4;4
12;5657;1;1;0;0;1;0;2;4;5;5;2;2;1;1;2;1;1;4;1;2;1;1;5;5;2;2;4;5;1;4;1;4
08;5749;3;1;0;0;0;0;2;5;5;4;1;1;2;2;2;4;2;4;1;4;4;4;4;2;4;2;4;4;2;4;1;2
06;5222;9;1;1;1;1;1;4;5;2;2;4;2;1;4;2;2;5;5;2;4;4;4;4;4;4;2;4;2;2;2;2;2
01;4368;2;1;1;1;0;1;2;2;2;4;2;2;2;2;4;2;2;4;2;4;2;2;3;5;4;2;4;2;2;2;2;2
07;4656;3;0;0;0;0;0;2;4;5;2;4;2;1;2;1;4;2;4;2;2;4;4;5;4;4;2;5;4;2;2;4;4
02;4875;8;1;0;0;1;1;2;4;2;2;5;1;4;5;4;2;4;2;2;4;2;4;4;2;5;2;5;4;2;5;4;1
12;5135;2;1;0;0;0;0;2;4;1;5;1;1;2;4;5;1;2;5;2;2;1;1;5;5;4;1;5;4;5;2;2;5
06;5300;3;1;0;0;1;0;2;5;5;2;4;1;1;4;2;2;5;2;1;5;2;4;4;4;5;2;4;4;2;5;4;2
08;5068;0;0;0;0;1;0;4;5;5;2;4;5;4;2;5;1;1;2;2;1;1;1;4;5;5;4;2;1;1;2;1;1
02;5843;9;0;0;0;1;0;5;5;4;1;5;1;1;4;1;4;5;2;4;4;4;4;4;4;4;5;5;1;4;4;5;2
01;4534;4;0;0;0;0;0;1;4;5;5;2;5;1;1;4;1;1;2;2;2;2;1;2;5;4;2;4;5;1;2;1;4
13;4611;5;0;0;0;1;0;2;4;2;4;4;2;1;4;2;2;2;4;2;4;4;1;4;4;4;2;4;4;2;2;2;4
02;5891;7;1;0;0;1;0;4;2;2;1;5;4;1;2;1;4;1;4;1;4;3;2;4;4;5;2;4;3;2;3;2;2
03;4538;0;1;0;0;0;0;2;5;5;4;3;4;2;4;3;4;2;4;2;4;1;2;4;4;4;2;2;4;4;2;2;3
10;4799;6;1;0;0;0;0;2;2;4;2;4;2;1;5;2;5;1;5;1;4;2;4;1;4;5;4;4;1;3;5;2;2
08;4606;2;1;0;0;0;1;2;4;2;5;1;2;1;2;2;2;2;5;4;2;4;2;4;5;4;2;4;3;4;2;2;2
01;4545;0;1;0;0;0;0;1;5;1;5;1;5;1;5;1;2;1;5;5;2;5;2;5;5;5;1;2;1;1;1;1;2
09;5003;9;0;0;0;0;0;5;5;2;2;5;2;1;5;2;4;2;5;1;4;4;4;5;2;5;4;5;4;4;4;2;2
13;6133;9;1;0;0;1;0;4;5;1;2;4;2;1;5;1;2;5;4;4;5;5;2;4;2;4;2;4;1;5;1;1;2
08;4458;5;1;0;0;0;0;4;5;2;5;2;5;1;5;3;3;4;5;4;5;4;1;3;5;4;1;5;1;3;1;1;3
03;5285;9;1;1;0;0;1;4;2;2;2;5;4;1;2;1;2;4;5;4;5;4;2;2;2;4;2;3;2;2;2;2;2
10;4622;8;0;1;1;1;1;2;4;2;2;2;1;2;4;2;4;4;4;1;2;4;4;2;4;4;2;2;4;2;5;2;2
02;4251;0;1;0;0;1;0;4;5;4;2;4;1;1;5;1;5;4;4;4;4;2;4;5;1;4;2;4;4;4;1;4;2
03;5388;4;1;0;0;1;0;1;1;5;4;1;5;1;1;4;1;1;5;1;1;1;1;4;5;3;1;1;1;1;1;1;5
04;4766;2;1;0;0;1;0;2;4;2;4;4;4;1;4;2;2;4;2;2;4;4;1;4;4;5;2;4;2;4;2;2;2
03;4384;3;0;0;0;1;0;1;2;4;2;2;1;2;2;4;2;4;4;2;4;4;4;4;5;5;2;4;5;2;4;1;4
01;5022;3;0;0;0;1;0;2;4;4;2;2;2;2;2;4;2;2;2;2;4;2;4;4;4;2;2;4;4;2;5;2;4
10;5224;5;1;0;0;1;0;2;5;4;1;4;5;2;4;4;2;4;5;4;4;2;1;5;2;4;4;2;1;4;1;2;2
04;5578;4;0;0;0;0;0;2;2;5;5;2;5;1;2;2;1;1;1;1;2;2;1;2;4;1;2;2;1;1;4;1;2
01;4642;8;0;0;0;1;0;1;4;4;4;1;1;1;2;2;4;2;1;1;2;2;3;4;4;2;1;4;4;1;5;4;4
01;4232;9;0;0;0;1;0;2;5;4;2;4;1;2;4;1;4;5;4;1;2;2;4;5;2;5;2;5;4;2;2;5;2
13;4316;3;1;0;0;1;0;1;5;5;2;2;2;2;1;4;1;2;4;1;4;2;5;5;5;4;2;4;5;1;4;1;4
01;4608;7;0;0;0;1;0;4;5;5;1;5;4;1;4;1;2;1;2;2;2;4;4;5;5;5;2;5;4;1;4;4;2
09;4660;3;0;0;0;0;0;1;4;5;4;2;2;2;2;4;1;1;2;1;2;2;4;5;5;4;1;4;5;2;5;2;4
01;4378;6;1;0;0;1;0;2;2;2;2;2;2;2;4;2;2;1;4;2;2;4;1;2;4;4;2;5;2;2;4;2;2
07;5512;0;1;0;0;0;0;4;5;5;4;4;4;1;4;4;4;1;4;3;2;3;1;5;4;5;4;5;5;1;4;4;5
06;4361;2;0;0;0;1;0;1;2;2;5;1;1;2;2;2;1;1;5;1;2;2;4;2;5;4;1;4;4;2;4;4;2
13;5264;2;0;0;0;1;0;1;4;5;5;1;1;1;1;1;1;1;2;1;2;5;3;5;5;5;1;5;5;1;4;1;4
08;4790;6;1;0;0;0;0;4;1;2;2;5;2;1;4;4;4;2;5;4;4;4;2;1;4;4;2;5;2;1;2;4;2
11;6150;0;1;0;0;1;0;1;5;4;4;1;2;1;5;2;1;1;2;2;2;4;2;4;5;5;1;4;4;2;5;1;1
02;5310;7;1;0;0;1;1;2;4;4;4;2;4;1;4;4;4;1;4;4;5;4;1;2;4;2;4;2;5;1;1;1;2
12;6191;8;1;0;0;1;0;2;2;4;4;2;2;2;4;4;2;4;4;2;4;4;2;4;4;4;4;4;4;2;4;2;2
11;6186;0;1;0;0;1;0;1;5;4;1;4;2;1;4;2;2;5;2;2;5;2;1;5;2;3;3;5;3;1;2;1;2
02;4295;0;1;1;0;0;1;5;5;4;2;2;5;2;5;2;5;1;4;5;5;1;1;5;5;2;1;4;2;2;1;1;2
08;5519;4;1;0;0;0;0;1;1;5;2;4;5;1;2;5;1;1;4;5;2;5;1;2;4;4;2;5;5;1;1;1;5
07;5181;0;0;0;0;0;0;4;5;1;4;4;1;1;5;1;4;5;5;2;4;5;1;5;4;4;1;2;2;1;1;1;2
09;4311;9;0;0;0;1;0;4;4;4;4;5;2;2;4;4;4;4;4;2;4;4;1;4;2;4;2;5;4;1;2;2;4
12;4168;8;1;0;0;1;0;2;4;4;4;2;2;2;4;2;4;5;2;2;5;2;2;4;4;4;2;4;2;2;4;2;2
10;6048;6;1;0;0;0;0;4;2;2;4;2;2;1;4;1;2;2;4;4;4;4;2;1;4;4;2;4;4;1;2;2;4
12;4689;2;0;0;0;0;0;1;4;4;5;1;1;1;2;2;1;1;4;2;3;4;1;4;5;2;1;4;4;1;3;1;4
02;5719;3;1;0;0;1;0;2;4;5;2;4;2;2;4;2;2;5;5;2;4;4;4;5;5;4;1;5;4;5;4;4;4
11;4909;9;0;0;0;1;0;4;5;4;2;4;2;1;5;2;4;4;4;2;2;4;4;4;2;5;2;4;4;2;2;4;2
02;5486;4;1;0;0;0;0;2;1;5;5;2;5;1;1;4;1;1;4;4;4;1;2;2;5;4;1;2;2;2;1;1;4
07;4792;7;0;0;0;0;0;4;4;4;2;4;2;2;4;4;4;2;4;2;4;4;2;1;2;4;2;4;4;1;2;1;4
07;5238;6;1;0;0;0;0;2;4;4;4;2;4;2;2;2;2;2;4;2;4;2;2;1;4;4;4;4;2;2;4;2;4
11;4975;3;1;0;0;0;0;2;4;5;4;1;2;1;2;1;2;2;4;2;4;1;2;4;5;4;2;4;5;2;4;2;5
01;6229;4;0;0;0;0;0;4;4;4;2;2;5;1;4;2;1;1;4;2;2;5;1;4;1;5;1;5;4;2;1;1;4
06;5223;1;1;0;0;1;1;1;2;5;5;1;4;1;1;2;1;1;2;1;2;1;1;1;5;4;1;5;5;2;5;1;5
08;4630;3;0;0;0;1;0;1;2;5;4;1;1;1;1;5;1;1;5;1;4;2;1;5;5;5;1;5;5;2;4;1;5
01;5581;3;0;0;0;1;0;2;5;4;2;4;2;1;2;4;2;4;4;2;4;2;2;4;4;4;2;5;5;2;4;4;5
13;6120;9;0;0;0;1;0;4;5;3;1;5;1;1;4;1;3;5;4;2;3;5;1;5;2;1;3;5;2;1;3;1;1
10;5390;5;1;1;1;0;1;2;4;3;4;2;4;1;5;2;4;2;5;5;4;5;2;1;5;5;2;4;1;1;1;1;5
12;5138;1;1;0;0;1;0;1;1;5;5;1;2;1;2;5;1;1;4;1;1;2;1;5;5;4;1;5;4;1;4;2;4
01;5675;0;0;0;0;0;0;2;2;4;4;2;3;1;2;2;1;1;3;2;3;3;3;4;4;5;2;4;4;1;3;2;4
01;4817;1;0;0;0;1;0;1;2;5;5;1;2;1;1;2;1;1;2;1;2;1;1;4;5;4;2;4;5;2;5;2;5
08;5243;2;1;0;0;1;0;1;2;4;5;1;2;1;2;4;1;1;4;2;2;2;4;5;5;4;1;4;4;2;2;2;5
03;5696;4;1;0;0;1;0;1;3;5;5;2;5;1;1;5;1;1;4;4;2;2;3;5;5;3;1;5;3;2;4;2;5
11;4740;7;1;0;1;1;0;4;4;5;2;4;5;1;4;1;4;2;5;2;4;4;1;3;4;5;2;4;4;2;2;1;4
02;5712;3;0;0;0;0;0;2;2;5;2;4;2;2;2;2;2;2;4;1;4;4;4;4;4;5;4;4;5;4;5;4;4
13;4325;1;1;0;0;0;0;1;1;5;5;1;4;1;1;4;1;1;4;1;4;4;2;5;5;5;1;5;2;2;4;1;5
07;4710;1;0;0;0;1;0;1;2;5;5;1;2;1;2;2;2;1;4;1;2;4;1;3;5;4;1;4;4;1;4;1;4
04;4952;7;1;0;0;1;0;4;4;5;5;5;1;2;5;4;4;2;4;4;5;5;4;4;5;5;2;5;2;4;2;1;4
04;5953;5;0;0;1;1;0;4;4;2;2;2;5;1;4;4;2;2;4;5;4;4;1;2;5;4;2;4;2;2;1;2;4
03;5255;7;0;0;0;0;0;4;4;4;2;4;2;1;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;2;1;2
04;4830;3;0;0;0;1;0;2;2;5;2;4;2;2;2;2;2;4;2;2;2;4;4;5;4;5;2;5;4;4;4;2;4
08;4371;9;1;0;0;1;0;4;4;3;2;4;1;1;4;1;2;4;4;1;4;4;4;4;2;4;2;5;2;3;3;1;2
